GEOID_2010,poverty,total,som_total,other_lang_total,other_very_well,other_less,geometry
27019090100,0.08450639595000001,21.7111694143,0,0,0,0,"list(c(-93.768385, -93.749489, -93.706774, -93.706078, -93.699336, -93.683722, -93.669107, -93.666523, -93.663256, -93.65863, -93.652837, -93.645317, -93.645421, -93.652269, -93.6586, -93.661291, -93.663407, -93.66379, -93.667419, -93.673537, -93.680015, -93.683857, -93.686273, -93.692381, -93.693476, -93.693429, -93.687881, -93.686478, -93.686157, -93.686012, -93.685998, -93.671889, -93.665794, -93.665609, -93.658479, -93.656524, -93.65338, -93.645407, -93.645402, -93.645462, -93.671165, -93.686271, 
-93.701422, -93.706528, -93.726856, -93.736899, -93.738342, -93.766444, -93.767367, -93.767532, -93.767548, -93.767632, -93.767838, -93.768043, -93.768385, 44.89087, 44.890675, 44.890662, 44.890662, 44.891072, 44.890934, 44.891342, 44.891339, 44.891432, 44.891034, 44.890962, 44.891058, 44.916964, 44.917051, 44.916796, 44.917167, 44.919204, 44.919573, 44.921344, 44.920952, 44.92003, 44.920252, 44.921489, 44.920446, 44.922436, 44.923189, 44.924728, 44.924732, 44.933824, 44.938478, 44.942286, 44.945873, 
44.945858, 44.949542, 44.949554, 44.95295, 44.952477, 44.951292, 44.95278, 44.978645, 44.978348, 44.97813, 44.978039, 44.978012, 44.977952, 44.977835, 44.977818, 44.977641, 44.977964, 44.977646, 44.974098, 44.948765, 44.919817, 44.905436, 44.89087), c(-93.75826, -93.757451, -93.747276, -93.738042, -93.737076, -93.737172, -93.737227, -93.745975, -93.740911, -93.746246, -93.746251, -93.744206, -93.747314, -93.747328, -93.75275, -93.752824, -93.757874, -93.75826, 44.904902, 44.912786, 44.912995, 44.91312, 
44.913133, 44.901619, 44.898336, 44.898344, 44.901708, 44.901797, 44.900592, 44.900545, 44.89835, 44.897713, 44.894233, 44.898367, 44.89827, 44.904902))"
27019090601,0.019616231460000005,11.016728700600002,0.5357551388,0.6285631156000001,0.39021535700000004,0.23834775860000001,"list(c(-93.52081, -93.520632, -93.520715, -93.520632, -93.511329, -93.511331, -93.511337, -93.506746, -93.500442, -93.487948, -93.485397, -93.485558, -93.485695, -93.485016, -93.483841, -93.484764, -93.49572, -93.502014, -93.504631, -93.510292, -93.512544, -93.513641, -93.51385, -93.516261, -93.516355, -93.519691, -93.520737, -93.520757, -93.520758, -93.520813, -93.52081, 44.864337, 44.864108, 44.862187, 44.858529, 44.858365, 44.860163, 44.862036, 44.861915, 44.862873, 44.862813, 44.862361, 44.869022, 
44.875099, 44.879776, 44.88163, 44.881695, 44.880013, 44.879513, 44.878895, 44.876324, 44.876842, 44.876968, 44.878989, 44.880268, 44.880297, 44.882187, 44.883194, 44.877963, 44.87748, 44.866077, 44.864337))"
27019090701,0.007785376919999999,3.8937128516999997,0,0,0,0,"list(c(-93.520906, -93.520831, -93.520017, -93.500916, -93.491726, -93.491106, -93.490154, -93.484776, -93.485313, -93.485313, -93.485397, -93.487948, -93.500442, -93.506746, -93.511337, -93.511331, -93.511329, -93.520632, -93.520851, -93.520903, -93.520906, 44.841298, 44.827571, 44.827667, 44.842302, 44.849291, 44.849291, 44.850011, 44.851548, 44.853676, 44.85455, 44.862361, 44.862813, 44.862873, 44.861915, 44.862036, 44.860163, 44.858365, 44.858529, 44.85854, 44.851171, 44.841298))"
27019090702,0.00378970124,1.8953492649,0,0,0,0,"list(c(-93.520906, -93.520831, -93.520017, -93.500916, -93.491726, -93.491106, -93.490154, -93.484776, -93.485313, -93.485313, -93.485397, -93.487948, -93.500442, -93.506746, -93.511337, -93.511331, -93.511329, -93.520632, -93.520851, -93.520903, -93.520906, 44.841298, 44.827571, 44.827667, 44.842302, 44.849291, 44.849291, 44.850011, 44.851548, 44.853676, 44.85455, 44.862361, 44.862813, 44.862873, 44.861915, 44.862036, 44.860163, 44.858365, 44.858529, 44.85854, 44.851171, 44.841298))"
27053000101,18.6,3343,0,0,0,0,"list(c(-93.339834, -93.334551, -93.331253, -93.330225, -93.329679, -93.329564, -93.325079, -93.323233, -93.322606, -93.319433, -93.319433, -93.306676, -93.299065, -93.29921, -93.299194, -93.304306, -93.314187, -93.314545, -93.314455, -93.314344, -93.319499, -93.320323, -93.322365, -93.324846, -93.32518, -93.325833, -93.328621, -93.339686, -93.33962, -93.339621, -93.339606, -93.33918, -93.338434, -93.338402, -93.338348, -93.338439, -93.338671, -93.338939, -93.33928, -93.339789, -93.339806, -93.339834, 
45.040332, 45.040368, 45.041706, 45.042374, 45.041173, 45.040402, 45.040435, 45.040448, 45.042644, 45.041902, 45.04217, 45.039352, 45.037659, 45.043919, 45.051136, 45.051182, 45.051239, 45.052248, 45.055399, 45.059236, 45.059263, 45.059382, 45.060126, 45.06028, 45.06115, 45.065705, 45.065361, 45.06562, 45.059616, 45.059516, 45.058243, 45.058247, 45.058099, 45.057571, 45.057077, 45.057059, 45.056771, 45.056498, 45.055979, 45.053643, 45.048462, 45.040332))"
27053000102,22.5,4896,0,24,11,13,"list(c(-93.29921, -93.299065, -93.294891, -93.294025, -93.290405, -93.288108, -93.288109, -93.286728, -93.282696, -93.283215, -93.283426, -93.280826, -93.282226, -93.291527, -93.29409, -93.299194, -93.29921, 45.043919, 45.037659, 45.036736, 45.036464, 45.034725, 45.032723, 45.031506, 45.031513, 45.032427, 45.033452, 45.035365, 45.043565, 45.051165, 45.051128, 45.051128, 45.051136, 45.043919))"
27053000300,9.5,3199,0,4,4,0,"list(c(-93.318703, -93.318619, -93.318527, -93.313431, -93.308334, -93.308479, -93.308563, -93.318794, -93.318703, 45.031342, 45.027718, 45.024094, 45.024097, 45.02409, 45.031319, 45.03545, 45.035458, 45.031342))"
27053000601,11.4,4636,301,231,152,79,"list(c(-93.237114, -93.237122, -93.237122, -93.237114, -93.237106, -93.242184, -93.247387, -93.249847, -93.259918, -93.259979, -93.262103, -93.262383, -93.264113, -93.26269, -93.263115, -93.260714, -93.247345, -93.247337, -93.242249, -93.237152, -93.237129, -93.237114, 45.020443, 45.023972, 45.024055, 45.02766, 45.035606, 45.035579, 45.035553, 45.035549, 45.035544, 45.03051, 45.029444, 45.027603, 45.027603, 45.02101, 45.016815, 45.016818, 45.016769, 45.013161, 45.013176, 45.013195, 45.016819, 45.020443
))"
27053000603,13.2,3233,0,0,0,0,"list(c(-93.237122, -93.233276, -93.229614, -93.22686, -93.226863, -93.226868, -93.226883, -93.226898, -93.226898, -93.226929, -93.237106, -93.237114, -93.237122, -93.237122, 45.023972, 45.022263, 45.019222, 45.018921, 45.019513, 45.020473, 45.024097, 45.027714, 45.027729, 45.035671, 45.035606, 45.02766, 45.024055, 45.023972))"
27053001100,18.9,2096,76,96,73,23,"list(c(-93.247345, -93.247337, -93.242249, -93.237152, -93.237129, -93.237114, -93.247481, -93.247345, 45.016769, 45.013161, 45.013176, 45.013195, 45.016819, 45.020443, 45.020385, 45.016769))"
